EventID,季節,大約日期,地點,事件名稱,事件分類,神學主題,焦點,耶穌品格,福音中心,福音中心_備註,福音中心_原文,經文總覽,經文_太,經文_可,經文_路,經文_約,經文_其他,經文狀態,合參原則,年代確信度,順序確信度,舊約串珠,OT_註解,資料類型
E-001,後設,永恆,天上/永恆,【序言】太初有道,,邏各斯,先存的基督,,此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。,（聚焦：先存的基督） 〔見Jn敘事脈絡〕,在「【序言】太初有道」中，耶穌以宣告揭開神國的真相：此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。（聚焦：先存的基督）〔見Jn敘事脈絡〕,Jn 1:1-18,,,,Jn 1:1-18,,後設資料,福音書順序,高,高,,,後設資料
E-002,後設,—,書房/文本,路加序言,,歷史確據,真實性,,此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。,（聚焦：真實性） 〔見Lk敘事脈絡〕,在「路加序言」中，耶穌以宣告揭開神國的真相：此列為資料庫後設：福音不是零散故事，而是可追溯的歷史見證；因此信仰有其公開可驗的起點與脈絡。（聚焦：真實性）〔見Lk敘事脈絡〕,Lk 1:1-4,,,Lk 1:1-4,,,後設資料,福音書順序,高,高,,,後設資料
E-003,後設,—,歷史檔案,馬太家譜:彌賽亞的法統,,彌賽亞法統,大衛之子,,此列屬後設/序言：神已在話語中主動啟示並定義耶穌，為整個救恩敘事奠基，使信心建立在神先說話的白白的愛上。,（聚焦：大衛之子） 〔見Mt敘事脈絡〕,在「馬太家譜:彌賽亞的法統」中，耶穌以宣告揭開神國的真相：此列屬後設/序言：神已在話語中主動啟示並定義基督，為整個救恩敘事奠基，使信心建立在神先說話的恩典上。（聚焦：大衛之子）〔見Mt敘事脈絡〕,Mt 1:1-17,Mt 1:1-17,,,,,後設資料,福音書順序,高,高,,,後設資料
E-004,春,西元前 6 年,耶路撒冷聖殿,預言施洗約翰出生,降生>成就>先鋒誕生與呼召確立,預備/先鋒,救贖歷史開場,信實、勇氣、使命感,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：救贖歷史開場） 〔見Lk敘事脈絡〕,在「預言施洗約翰出生」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：救贖歷史開場）〔見Lk敘事脈絡〕,Lk 1:5-25,,,Lk 1:5-25,,,經文明載,福音書順序,中,高,【P】[彌賽亞預言] 瑪 3:1; 賽 40:3-5,這些舊約經文在期待神要來拯救、立王；新約說這盼望在耶穌身上成真。,事件
E-005,春,西元前 6 年,拿撒勒,預言耶穌降生,降生>預告>童女懷孕與道成肉身,道成肉身,神主動介入,恩典、主權、謙卑,耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。,（聚焦：神主動介入） 〔見Lk敘事脈絡〕,在「預言耶穌降生」中，耶穌以降生揭開神國的真相：基督進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。（聚焦：神主動介入）〔見Lk敘事脈絡〕,Lk 1:26-38,,,Lk 1:26-38,,,經文明載,福音書順序,中,高,【P】[彌賽亞預言] 賽 7:14; 賽 9:6-7,這些舊約經文在期待神要來拯救、立王；新約說這盼望在耶穌身上成真。,事件
E-006,春,西元前 6 年,猶大山地,馬利亞探望以利沙伯,降生>敬拜>尊主頌與恩典反轉,顛覆性恩典,尊主為大,敬畏、喜樂、信靠,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：尊主為大） 〔見Lk敘事脈絡〕,在「馬利亞探望以利沙伯」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：尊主為大）〔見Lk敘事脈絡〕,Lk 1:39-56,,,Lk 1:39-56,,,經文明載,福音書順序,中,高,,,事件
E-007,春,西元前 5 年,猶大山地,施洗約翰出生,降生>成就>先鋒誕生與呼召確立,應驗,清晨日光,信實、勇氣、使命感,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：清晨日光） 〔見Lk敘事脈絡〕,在「施洗約翰出生」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：清晨日光）〔見Lk敘事脈絡〕,Lk 1:57-80,,,Lk 1:57-80,,,經文明載,福音書順序,中,高,【P】[彌賽亞預言] 瑪 3:1; 賽 40:3-5,這些舊約經文在期待神要來拯救、立王；新約說這盼望在耶穌身上成真。,事件
E-008,春,西元前 5 年,拿撒勒,約瑟的夢與順服,降生>順服>約瑟領受與保護使命,義人,以馬內利,順服、責任、信靠,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：以馬內利） 〔見Mt敘事脈絡〕,在「約瑟的夢與順服」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：以馬內利）〔見Mt敘事脈絡〕,Mt 1:18-25,Mt 1:18-25,,,,,經文明載,福音書順序,中,高,【M】[彌賽亞預言] 創 37:5-11; 賽 7:14,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-009,春,西元前 5 年,伯利恆,耶穌降生,降生>成就>彌賽亞降臨(馬槽),降卑,客旅,謙卑、親近、憐憫,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：客旅） 〔見Lk敘事脈絡〕,在「耶穌降生」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：客旅）〔見Lk敘事脈絡〕,Lk 2:1-7,,,Lk 2:1-7,,,經文明載,福音書順序,低,高,【P】[彌賽亞預言] 彌 5:2; 賽 9:1-2,這些舊約經文在期待神要來拯救、立王；新約說這盼望在耶穌身上成真。,事件
E-010,春,西元前 5 年,伯利恆野地,牧羊人報信,降生>宣告>好消息臨到卑微者,福音對象,大喜的信息,恩典、接納、喜樂,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：大喜的信息） 〔見Lk敘事脈絡〕,在「牧羊人報信」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：大喜的信息）〔見Lk敘事脈絡〕,Lk 2:8-20,,,Lk 2:8-20,,,經文明載,福音書順序,低,高,【M】[彌賽亞預言] 詩 23:1-3; 撒下 7:8-16,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
